"Deployment.Location.ID","Date","Effort","Alces alces","Canis latrans","Canis lupus","Castor canadensis","Cervus canadensis","Erethizon dorsatum","Glaucomys sabrinus","Gulo gulo","Lepus americanus","Lynx canadensis","Lynx rufus","Martes americana","Martes pennanti","Mephitis mephitis","Mustela erminea","Mustela frenata","Odocoileus hemionus","Odocoileus virginianus","Oreamnos americanus","Ovis canadensis","Procyon lotor","Puma concolor","Spermophilus columbianus","Tamias minimus","Tamiasciurus hudsonicus","Taxidea taxus","Ursus americanus","Ursus arctos","Vulpes vulpes"
"CA-11","2021-08",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2021-09",30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2021-10",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2021-11",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2021-12",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2022-01",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2022-02",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2022-03",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2022-04",30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA-11","2022-05",31,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0
"CA-11","2022-06",30,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,13,0,0,0,0,5,0,0,0,0,0,0
"CA-11","2022-07",31,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,4,0,0
